"","fy","fund","agency","source","interfund_trans","from_fund","source_name","receipts","data_source","fund_name","agency_name","fund_cat","fund_cat_name.x","fund_ab","fund_ioc","fund_re","a_end","in_ff","fund_name_ab","fund_category","fund_cat_name.y","in_ff_rev","in_ff_exp","source_name_AWM","rev_type","rev_type_name","amnesty","local","type_assigned","med_option_recent","rev_type_new"
"2647",2022,"0067","588","1454",NA,"9999","RECOVERY & REMEDIATION FEES",6900,"rev_ioc_22.08.01","RADIATION PROTECTION","IL EMERGENCY MANAGEMENT AGCY",NA,NA,"0067","0067","0",NA,"1","RADIATION PROTECTION","D","Special State Funds","1","1","RECOVERY & REMEDIATION FEES","39",".",NA,0,NA,0,"39"
"2648",2021,"0185","350","1456",NA,NA,"MAYORS/VILLAGE PRESIDENTS",285,NA,"SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","MAYORS/VILLAGE PRESIDENTS","42",".",NA,0,NA,0,"42"
"2649",2022,"0185","350","1456",NA,"9999","MAYORS/VILLAGE PRESIDENTS",379,"rev_ioc_22.08.01","SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","MAYORS/VILLAGE PRESIDENTS","42",".",NA,0,NA,0,"42"
"2650",2021,"0335","546","1466",NA,NA,"HUMAN SERVICES",160135.31,NA,"CRIMINAL JUSTICE INFO PROJECTS","IL CRIMINAL JUSTICE INFO AUTH","I","STATE TRUST FUNDS","0335","0335","0",NA,"1","CRIMINAL JUSTICE INFO PROJECTS","I","State Trust Funds","1","1","HUMAN SERVICES","78",".",NA,0,NA,0,"78"
"2651",2021,"0339","684","1466",NA,NA,"HUMAN SERVICES",3e+06,NA,"IL COMM COLL BRD CONTRCT & GRT","IL COMMUNITY COLLEGE BOARD","D","SPECIAL STATE FUNDS","0339","0339","0",NA,"1","IL COMM COLL BRD CONTRCT & GRT","D","Special State Funds","1","1","HUMAN SERVICES","78",".",NA,0,NA,0,"78"
"2652",2021,"0419","420","1466",NA,NA,"HUMAN SERVICES",283022,NA,"DCEO PROJECTS","COMMERCE AND ECONOMIC OPPORTUN","I","STATE TRUST FUNDS","0419","0419","0",NA,"1","DCEO PROJECTS","I","State Trust Funds","1","1","HUMAN SERVICES","78",".",NA,0,NA,0,"78"
"2653",2021,"0720","478","1466",NA,NA,"HUMAN SERVICES",2361716.65,NA,"MEDICAL INTERAGENCY PROGRAM","HEALTHCARE & FAMILY SERVICES","D","SPECIAL STATE FUNDS","0720","0720","0",NA,"1","MEDICAL INTERAGENCY PROGRAM","D","Special State Funds","1","1","HUMAN SERVICES","78",".",NA,0,NA,0,"78"
"2654",2022,"0335","546","1466",NA,"9999","HUMAN SERVICES",130309.53,"rev_ioc_22.08.01","CRIMINAL JUSTICE INFO PROJECTS","IL CRIMINAL JUSTICE INFO AUTH",NA,NA,"0335","0335","0",NA,"1","CRIMINAL JUSTICE INFO PROJECTS","I","State Trust Funds","1","1","HUMAN SERVICES","78",".",NA,0,NA,0,"78"
"2655",2022,"0664","691","1466",NA,"9999","HUMAN SERVICES",1491321.5,"rev_ioc_22.08.01","STUDENT LOAN OPERATING","IL STUDENT ASSISTANCE COMM",NA,NA,"0664","0664","0",NA,"1","STUDENT LOAN OPERATION","G","Federal Trust Funds","1","1","HUMAN SERVICES","78",".",NA,0,NA,0,"78"
"2656",2022,"0720","478","1466",NA,"9999","HUMAN SERVICES",15486.39,"rev_ioc_22.08.01","MEDICAL INTERAGENCY PROGRAM","HEALTHCARE & FAMILY SERVICES",NA,NA,"0720","0720","0",NA,"1","MEDICAL INTERAGENCY PROGRAM","D","Special State Funds","1","1","HUMAN SERVICES","78",".",NA,0,NA,0,"78"
"2657",2021,"0063","482","1480",NA,NA,"FEDERAL MONIES VIA MICH. ST. U",66284,NA,"PUBLIC HEALTH SERVICES","PUBLIC HEALTH","G","FEDERAL TRUST FUNDS","0063","0063","0",NA,"1","PUBLIC HEALTH SERVICES","G","Federal Trust Funds","1","1","FEDERAL MONIES VIA MICH. ST. U","57","FEDERAL OTHER",NA,0,NA,0,"57"
"2658",2022,"0063","482","1480",NA,"9999","FEDERAL MONIES VIA MICH. ST. U",35938.64,"rev_ioc_22.08.01","PUBLIC HEALTH SERVICES","PUBLIC HEALTH",NA,NA,"0063","0063","0",NA,"1","PUBLIC HEALTH SERVICES","G","Federal Trust Funds","1","1","FEDERAL MONIES VIA MICH. ST. U","57","FEDERAL OTHER",NA,0,NA,0,"57"
"2659",2021,"0055","370","1481",NA,NA,"IPTIP UC SPCIAL ADMIN",3411.3,NA,"FEDERAL UNEMPLOYMENT COMP","TREASURER","G","FEDERAL TRUST FUNDS","0055","0055","0",NA,"1","FEDERAL UNEMPLOYMENT COMP","G","Federal Trust Funds","1","1","IPTIP UC SPCIAL ADMIN","63",".",NA,0,NA,0,"78"
"2660",2022,"0055","370","1481",NA,"9999","IPTIP UC SPCIAL ADMIN",22419.99,"rev_ioc_22.08.01","FEDERAL UNEMPLOYMENT COMP","TREASURER",NA,NA,"0055","0055","0",NA,"1","FEDERAL UNEMPLOYMENT COMP","G","Federal Trust Funds","1","1","IPTIP UC SPCIAL ADMIN","63",".",NA,0,NA,0,"78"
"2661",2021,"0885","452","1483",NA,NA,"ADMINISTRATIVE FEES",65564.88,NA,"WAGE THEFT ENFORCEMENT","LABOR","D","SPECIAL STATE FUNDS","0885","0885","0",NA,"1","WAGE THEFT ENFORCEMENT","D","Special State Funds","1","1","ADMINISTRATIVE FEES","39",".",NA,0,NA,0,"39"
"2662",2022,"0885","452","1483",NA,"9999","ADMINISTRATIVE FEES",59824.6,"rev_ioc_22.08.01","WAGE THEFT ENFORCEMENT","LABOR",NA,NA,"0885","0885","0",NA,"1","WAGE THEFT ENFORCEMENT","D","Special State Funds","1","1","ADMINISTRATIVE FEES","39",".",NA,0,NA,0,"39"
"2663",2021,"0571","492","1491",NA,NA,"PRO RATA SHARE ELEC. UTILITY",2785367,NA,"ENERGY EFFICIENCY TRUST","REVENUE","D","SPECIAL STATE FUNDS","0571","0571","0",NA,"1","ENERGY EFFICIENCY TRUST","D","Special State Funds","1","1","PRO RATA SHARE ELEC. UTILITY","39",".",NA,0,NA,0,"39"
"2664",2022,"0571","492","1491",NA,"9999","PRO RATA SHARE ELEC. UTILITY",3679841,"rev_ioc_22.08.01","ENERGY EFFICIENCY TRUST","REVENUE",NA,NA,"0571","0571","0",NA,"1","ENERGY EFFICIENCY TRUST","D","Special State Funds","1","1","PRO RATA SHARE ELEC. UTILITY","39",".",NA,0,NA,0,"39"
"2665",2021,"0067","588","1494",NA,NA,"RADON LICENSING",241448.5,NA,"RADIATION PROTECTION","IL EMERGENCY MANAGEMENT AGCY","D","SPECIAL STATE FUNDS","0067","0067","0",NA,"1","RADIATION PROTECTION","D","Special State Funds","1","1","RADON LICENSING","39",".",NA,0,NA,0,"39"
"2666",2022,"0067","588","1494",NA,"9999","RADON LICENSING",245650.59,"rev_ioc_22.08.01","RADIATION PROTECTION","IL EMERGENCY MANAGEMENT AGCY",NA,NA,"0067","0067","0",NA,"1","RADIATION PROTECTION","D","Special State Funds","1","1","RADON LICENSING","39",".",NA,0,NA,0,"39"
"2667",2021,"0001","492","1497",NA,NA,"ELECTRICITY EXCISE TAX",366372377.39,NA,"GENERAL REVENUE","REVENUE","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ELECTRICITY EXCISE TAX","12",".",NA,0,NA,0,"12"
"2668",2021,"0059","492","1497",NA,NA,"ELECTRICITY EXCISE TAX",6176461.09,NA,"PUBLIC UTILITY","REVENUE","D","SPECIAL STATE FUNDS","0059","0059","0",NA,"1","PUBLIC UTILITY","D","Special State Funds","1","1","ELECTRICITY EXCISE TAX","12",".",NA,0,NA,0,"12"
"2669",2022,"0001","492","1497",NA,"9999","ELECTRICITY EXCISE TAX",381502556.03,"rev_ioc_22.08.01","GENERAL REVENUE","REVENUE",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ELECTRICITY EXCISE TAX","12",".",NA,0,NA,0,"12"
"2670",2022,"0059","492","1497",NA,"9999","ELECTRICITY EXCISE TAX",6644404.73,"rev_ioc_22.08.01","PUBLIC UTILITY","REVENUE",NA,NA,"0059","0059","0",NA,"1","PUBLIC UTILITY","D","Special State Funds","1","1","ELECTRICITY EXCISE TAX","12",".",NA,0,NA,0,"12"
"2671",2021,"0001","492","1498",NA,NA,"ELECTRIC SELF ASSESSOR",4000,NA,"GENERAL REVENUE","REVENUE","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ELECTRIC SELF ASSESSOR","39",".",NA,0,NA,0,"39"
"2672",2022,"0001","492","1498",NA,"9999","ELECTRIC SELF ASSESSOR",3000,"rev_ioc_22.08.01","GENERAL REVENUE","REVENUE",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ELECTRIC SELF ASSESSOR","39",".",NA,0,NA,0,"39"
"2673",2021,"0001","478","1500",NA,NA,"CHILDREN'S HEALTH INSURANCE",708518.76,NA,"GENERAL REVENUE","HEALTHCARE & FAMILY SERVICES","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","CHILDREN'S HEALTH INSURANCE","36",".",NA,0,NA,0,"36"
"2674",2022,"0001","478","1500",NA,"9999","CHILDREN'S HEALTH INSURANCE",412101.15,"rev_ioc_22.08.01","GENERAL REVENUE","HEALTHCARE & FAMILY SERVICES",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","CHILDREN'S HEALTH INSURANCE","36",".",NA,0,NA,0,"36"
"2675",2021,"0074","532","1502",NA,NA,"GREAT LAKES COMMISSION",233907,NA,"EPA SPEC STATE PROJ TRUST","ENVIRONMENTAL PROTECT AGENCY","I","STATE TRUST FUNDS","0074","0074","0",NA,"1","EPA SPEC STATE PROJ TRUST","I","State Trust Funds","1","1","GREAT LAKES COMMISSION","57","FEDERAL OTHER",NA,0,NA,0,"57"
"2676",2022,"0074","532","1502",NA,"9999","GREAT LAKES COMMISSION",295164,"rev_ioc_22.08.01","EPA SPEC STATE PROJ TRUST","ENVIRONMENTAL PROTECT AGENCY",NA,NA,"0074","0074","0",NA,"1","EPA SPEC STATE PROJ TRUST","I","State Trust Funds","1","1","GREAT LAKES COMMISSION","57","FEDERAL OTHER",NA,0,NA,0,"57"
"2677",2021,"9422","350","1504",NA,NA,"ALTERNATIVE FUEL REGISTRATION",2080880,NA,"ALTERNATE FUELS","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0422-A","0422","1","2021","1","ALTERNATE FUELS","D","Special State Funds","1","1","ALTERNATIVE FUEL REGISTRATION","39",".",NA,0,NA,0,"39"
"2678",2022,"0422","350","1504",NA,"9999","ALTERNATIVE FUEL REGISTRATION",2028800,"rev_ioc_22.08.01","ELECTRIC VEHICLE REBATE","SECRETARY OF STATE",NA,NA,"0422-B","0422","2",NA,"1","ELECTRIC VEHICLE REBATE","D","Special State Funds","1","1","ALTERNATIVE FUEL REGISTRATION","39",".",NA,0,NA,0,"39"
"2679",2021,"0517","569","1511",NA,NA,"ACADEMY TRAINING FEES",2200,NA,"POLICE TRAINING BOARD SERVICES","IL LAW ENFORCE TRAIN & STDS BD","D","SPECIAL STATE FUNDS","0517","0517","0",NA,"1","POLICE TRAINING BOARD SERVICES","D","Special State Funds","1","1","ACADEMY TRAINING FEES","39",".",NA,0,NA,0,"39"
"2680",2022,"0517","569","1511",NA,"9999","ACADEMY TRAINING FEES",300,"rev_ioc_22.08.01","POLICE TRAINING BOARD SERVICES","IL LAW ENFORCE TRAIN & STDS BD",NA,NA,"0517","0517","0",NA,"1","POLICE TRAINING BOARD SERVICES","D","Special State Funds","1","1","ACADEMY TRAINING FEES","39",".",NA,0,NA,0,"39"
"2681",2021,"0408","444","1520",NA,NA,"MIGRANT HEAD START",2955532,NA,"DHS SPECIAL PURPOSE TRUST","HUMAN SERVICES","G","FEDERAL TRUST FUNDS","0408","0408","0",NA,"1","DHS SPECIAL PURPOSE TRUST","G","Federal Trust Funds","1","1","MIGRANT HEAD START","57","FEDERAL OTHER",NA,0,NA,0,"57"
"2682",2022,"0347","444","1520",NA,"9999","MIGRANT HEAD START",134236,"rev_ioc_22.08.01","EMPLOYMENT & TRAINING","HUMAN SERVICES",NA,NA,"0347","0347","0",NA,"1","EMPLOYMENT & TRAINING","G","Federal Trust Funds","1","1","MIGRANT HEAD START","57","FEDERAL OTHER",NA,0,NA,0,"57"
"2683",2022,"0408","444","1520",NA,"9999","MIGRANT HEAD START",3213184,"rev_ioc_22.08.01","DHS SPECIAL PURPOSE TRUST","HUMAN SERVICES",NA,NA,"0408","0408","0",NA,"1","DHS SPECIAL PURPOSE TRUST","G","Federal Trust Funds","1","1","MIGRANT HEAD START","57","FEDERAL OTHER",NA,0,NA,0,"57"
"2684",2021,"0067","588","1523",NA,NA,"MAMMOGRAPHY INSTALLATION FEES",423800,NA,"RADIATION PROTECTION","IL EMERGENCY MANAGEMENT AGCY","D","SPECIAL STATE FUNDS","0067","0067","0",NA,"1","RADIATION PROTECTION","D","Special State Funds","1","1","MAMMOGRAPHY INSTALLATION FEES","39",".",NA,0,NA,0,"39"
"2685",2022,"0067","588","1523",NA,"9999","MAMMOGRAPHY INSTALLATION FEES",431600,"rev_ioc_22.08.01","RADIATION PROTECTION","IL EMERGENCY MANAGEMENT AGCY",NA,NA,"0067","0067","0",NA,"1","RADIATION PROTECTION","D","Special State Funds","1","1","MAMMOGRAPHY INSTALLATION FEES","39",".",NA,0,NA,0,"39"
"2686",2021,"0597","201","1525",NA,NA,"FOREIGN LANGUAGE INTERPRETER",17468.75,NA,"FOREIGN LANGUAGE INTERPRETER","SUPREME COURT","D","SPECIAL STATE FUNDS","0597","0597","0",NA,"1","FOREIGN LANGUAGE INTERPRETER","D","Special State Funds","1","1","FOREIGN LANGUAGE INTERPRETER","39",".",NA,0,1,0,"39"
"2687",2022,"0597","201","1525",NA,"9999","FOREIGN LANGUAGE INTERPRETER",14750,"rev_ioc_22.08.01","FOREIGN LANGUAGE INTERPRETER","SUPREME COURT",NA,NA,"0597","0597","0",NA,"1","FOREIGN LANGUAGE INTERPRETER","D","Special State Funds","1","1","FOREIGN LANGUAGE INTERPRETER","39",".",NA,0,1,0,"39"
"2688",2021,"0185","350","1526",NA,NA,"POLICE MEMORIAL COMMITTEE",31349,NA,"SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","POLICE MEMORIAL COMMITTEE","42",".",NA,0,NA,0,"42"
"2689",2021,"0598","350","1526",NA,NA,"POLICE MEMORIAL COMMITTEE",192651,NA,"POLICE MEMORIAL COMMITTEE","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0598","0598","0",NA,"1","POLICE MEMORIAL COMMITTEE","D","Special State Funds","1","1","POLICE MEMORIAL COMMITTEE","42",".",NA,0,NA,0,"42"
"2690",2022,"0185","350","1526",NA,"9999","POLICE MEMORIAL COMMITTEE",31329,"rev_ioc_22.08.01","SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","POLICE MEMORIAL COMMITTEE","42",".",NA,0,NA,0,"42"
"2691",2022,"0598","350","1526",NA,"9999","POLICE MEMORIAL COMMITTEE",172271,"rev_ioc_22.08.01","POLICE MEMORIAL COMMITTEE","SECRETARY OF STATE",NA,NA,"0598","0598","0",NA,"1","POLICE MEMORIAL COMMITTEE","D","Special State Funds","1","1","POLICE MEMORIAL COMMITTEE","42",".",NA,0,NA,0,"42"
"2692",2021,"0185","350","1527",NA,NA,"MAMMOGRAM LICENSE PLATE",13331,NA,"SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","MAMMOGRAM LICENSE PLATE","42",".",NA,0,NA,0,"42"
"2693",2021,"0599","350","1527",NA,NA,"MAMMOGRAM LICENSE PLATE",113944,NA,"MAMMOGRAM","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0599","0599","0",NA,"1","MAMMOGRAM","D","Special State Funds","1","1","MAMMOGRAM LICENSE PLATE","42",".",NA,0,NA,0,"42"
"2694",2022,"0185","350","1527",NA,"9999","MAMMOGRAM LICENSE PLATE",13177,"rev_ioc_22.08.01","SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","MAMMOGRAM LICENSE PLATE","42",".",NA,0,NA,0,"42"
"2695",2022,"0599","350","1527",NA,"9999","MAMMOGRAM LICENSE PLATE",101523,"rev_ioc_22.08.01","MAMMOGRAM","SECRETARY OF STATE",NA,NA,"0599","0599","0",NA,"1","MAMMOGRAM","D","Special State Funds","1","1","MAMMOGRAM LICENSE PLATE","42",".",NA,0,NA,0,"42"
"2696",2022,"0534","563","1533",NA,"9999","SELF-INSURANCE",158100.3,"rev_ioc_22.08.01","IL WORKERS' COMP COMM OPERATNS","IL WORKERS' COMPENSATION COMMI",NA,NA,"0534-B","0534","2",NA,"1","IL WORKERS' COMP COMM OPERATNS","D","Special State Funds","1","1","SELF-INSURANCE","39",".",NA,0,NA,0,"39"
"2697",2021,"0051","452","1537",NA,NA,"CARNIVAL AMUSEMENT INSPECTION",107250,NA,"AMUSEMENT RIDE & PATRON SAFETY","LABOR","D","SPECIAL STATE FUNDS","0051","0051","0",NA,"1","AMUSEMENT RIDE & PATRON SAFETY","D","Special State Funds","1","1","CARNIVAL AMUSEMENT INSPECTION","39",".",NA,0,NA,0,"39"
"2698",2022,"0051","452","1537",NA,"9999","CARNIVAL AMUSEMENT INSPECTION",242315,"rev_ioc_22.08.01","AMUSEMENT RIDE & PATRON SAFETY","LABOR",NA,NA,"0051","0051","0",NA,"1","AMUSEMENT RIDE & PATRON SAFETY","D","Special State Funds","1","1","CARNIVAL AMUSEMENT INSPECTION","39",".",NA,0,NA,0,"39"
"2699",2021,"0796","588","1538",NA,NA,"NUCLEAR SPENT FUEL",99515,NA,"NUC SAFETY EMERG PREPAREDNESS","IL EMERGENCY MANAGEMENT AGCY","D","SPECIAL STATE FUNDS","0796","0796","0",NA,"1","NUC SAFETY EMERG PREPAREDNESS","D","Special State Funds","1","1","NUCLEAR SPENT FUEL","39",".",NA,0,NA,0,"39"
"2700",2022,"0796","588","1538",NA,"9999","NUCLEAR SPENT FUEL",96200,"rev_ioc_22.08.01","NUC SAFETY EMERG PREPAREDNESS","IL EMERGENCY MANAGEMENT AGCY",NA,NA,"0796","0796","0",NA,"1","NUC SAFETY EMERG PREPAREDNESS","D","Special State Funds","1","1","NUCLEAR SPENT FUEL","39",".",NA,0,NA,0,"39"
"2701",2021,"0906","493","1540",NA,NA,"ACCIDENT REPORTS",11015,NA,"STATE POLICE SERVICES","STATE POLICE","D","SPECIAL STATE FUNDS","0906","0906","0",NA,"1","STATE POLICE SERVICES","D","Special State Funds","1","1","ACCIDENT REPORTS","39",".",NA,0,NA,0,"39"
"2702",2022,"0011","494","1540",NA,"9999","ACCIDENT REPORTS",1038666.7,"rev_ioc_22.08.01","ROAD","TRANSPORTATION",NA,NA,"0011","0011","0",NA,"1","ROAD","B","Highway Funds","1","1","ACCIDENT REPORTS","39",".",NA,0,NA,0,"39"
"2703",2022,"0906","493","1540",NA,"9999","ACCIDENT REPORTS",9125,"rev_ioc_22.08.01","STATE POLICE SERVICES","STATE POLICE",NA,NA,"0906","0906","0",NA,"1","STATE POLICE SERVICES","D","Special State Funds","1","1","ACCIDENT REPORTS","39",".",NA,0,NA,0,"39"
"2704",2021,"0944","532","1541",NA,NA,"PUBLIC WATER SUPPLY OPERATOR",22640,NA,"ENVIRO PROTECT PERMIT & INSP","ENVIRONMENTAL PROTECT AGENCY","D","SPECIAL STATE FUNDS","0944","0944","0",NA,"1","ENVIRO PROTECT PERMIT & INSP","D","Special State Funds","1","1","PUBLIC WATER SUPPLY OPERATOR","39",".",NA,0,NA,0,"39"
"2705",2022,"0944","532","1541",NA,"9999","PUBLIC WATER SUPPLY OPERATOR",24610,"rev_ioc_22.08.01","ENVIRO PROTECT PERMIT & INSP","ENVIRONMENTAL PROTECT AGENCY",NA,NA,"0944","0944","0",NA,"1","ENVIRO PROTECT PERMIT & INSP","D","Special State Funds","1","1","PUBLIC WATER SUPPLY OPERATOR","39",".",NA,0,NA,0,"39"
"2706",2021,"0903","416","1542",NA,NA,"FEDERAL PROPERTY SALES",1250,NA,"STATE SURPLUS PROPERTY REV","CENTRAL MANAGEMENT","H","REVOLVING FUNDS","0903","0903","0",NA,"1","STATE SURPLUS PROPERTY REV","H","Revolving Funds","1","1","FEDERAL PROPERTY SALES","54",".",NA,0,NA,0,"54"
"2707",2021,"0372","482","1543",NA,NA,"PLUMBING LICENSURE PROGRAM",2548192.34,NA,"PLUMBING LICENSURE & PROGRAM","PUBLIC HEALTH","D","SPECIAL STATE FUNDS","0372","0372","0",NA,"1","PLUMBING LICENSURE & PROGRAM","D","Special State Funds","1","1","PLUMBING LICENSURE PROGRAM","39",".",NA,0,NA,0,"39"
"2708",2022,"0372","482","1543",NA,"9999","PLUMBING LICENSURE PROGRAM",2580645.3,"rev_ioc_22.08.01","PLUMBING LICENSURE & PROGRAM","PUBLIC HEALTH",NA,NA,"0372","0372","0",NA,"1","PLUMBING LICENSURE & PROGRAM","D","Special State Funds","1","1","PLUMBING LICENSURE PROGRAM","39",".",NA,0,NA,0,"39"
"2709",2021,"0575","478","1552",NA,NA,"DHHS/FFP-MEDICAID REHAB OPTION",2586,NA,"JUVENILE REHAB SERV MEDICAID","HEALTHCARE & FAMILY SERVICES","D","SPECIAL STATE FUNDS","0575","0575","0",NA,"1","JUVENILE REHAB SERV MEDICAID","D","Special State Funds","1","1","DHHS/FFP-MEDICAID REHAB OPTION","58","FEDERAL TRANSPORTATION",NA,0,NA,0,"58"
"2710",2022,"0575","478","1552",NA,"9999","DHHS/FFP-MEDICAID REHAB OPTION",5067,"rev_ioc_22.08.01","JUVENILE REHAB SERV MEDICAID","HEALTHCARE & FAMILY SERVICES",NA,NA,"0575","0575","0",NA,"1","JUVENILE REHAB SERV MEDICAID","D","Special State Funds","1","1","DHHS/FFP-MEDICAID REHAB OPTION","58","FEDERAL TRANSPORTATION",NA,0,NA,0,"58"
"2711",2021,"0137","422","1555",NA,NA,"DISPOSAL OF EQUIPMENT",5500,NA,"PLUGGING & RESTORATION","NATURAL RESOURCES","D","SPECIAL STATE FUNDS","0137","0137","0",NA,"1","PLUGGING & RESTORATION","D","Special State Funds","1","1","DISPOSAL OF EQUIPMENT","78",".",NA,0,NA,0,"78"
"2712",2022,"0137","422","1555",NA,"9999","DISPOSAL OF EQUIPMENT",5950,"rev_ioc_22.08.01","PLUGGING & RESTORATION","NATURAL RESOURCES",NA,NA,"0137","0137","0",NA,"1","PLUGGING & RESTORATION","D","Special State Funds","1","1","DISPOSAL OF EQUIPMENT","78",".",NA,0,NA,0,"78"
"2713",2021,"0270","532","1564",NA,NA,"INTEREST/DRINKING WATER",389264.44,NA,"WATER REVOLVING","ENVIRONMENTAL PROTECT AGENCY","D","SPECIAL STATE FUNDS","0270","0270","0",NA,"1","WATER REVOLVING","D","Special State Funds","1","1","INTEREST/DRINKING WATER","36",".",NA,0,NA,0,"36"
"2714",2022,"0270","532","1564",NA,"9999","INTEREST/DRINKING WATER",338066.16,"rev_ioc_22.08.01","WATER REVOLVING","ENVIRONMENTAL PROTECT AGENCY",NA,NA,"0270","0270","0",NA,"1","WATER REVOLVING","D","Special State Funds","1","1","INTEREST/DRINKING WATER","36",".",NA,0,NA,0,"36"
"2715",2021,"0270","532","1565",NA,NA,"PRINCIPAL/DRINKING WATER",2425511.94,NA,"WATER REVOLVING","ENVIRONMENTAL PROTECT AGENCY","D","SPECIAL STATE FUNDS","0270","0270","0",NA,"1","WATER REVOLVING","D","Special State Funds","1","1","PRINCIPAL/DRINKING WATER","36",".",NA,0,NA,0,"36"
"2716",2022,"0270","532","1565",NA,"9999","PRINCIPAL/DRINKING WATER",5265100.72,"rev_ioc_22.08.01","WATER REVOLVING","ENVIRONMENTAL PROTECT AGENCY",NA,NA,"0270","0270","0",NA,"1","WATER REVOLVING","D","Special State Funds","1","1","PRINCIPAL/DRINKING WATER","36",".",NA,0,NA,0,"36"
"2717",2021,"0270","532","1566",NA,NA,"LOCAL GOVT UNIT/DRINKING WATER",11577399.29,NA,"WATER REVOLVING","ENVIRONMENTAL PROTECT AGENCY","D","SPECIAL STATE FUNDS","0270","0270","0",NA,"1","WATER REVOLVING","D","Special State Funds","1","1","LOCAL GOVT UNIT/DRINKING WATER","78",".",NA,0,NA,0,"78"
"2718",2022,"0270","532","1566",NA,"9999","LOCAL GOVT UNIT/DRINKING WATER",12078799.07,"rev_ioc_22.08.01","WATER REVOLVING","ENVIRONMENTAL PROTECT AGENCY",NA,NA,"0270","0270","0",NA,"1","WATER REVOLVING","D","Special State Funds","1","1","LOCAL GOVT UNIT/DRINKING WATER","78",".",NA,0,NA,0,"78"
"2719",2021,"0001","426","1567",NA,NA,"PINCKNEYVILLE CORRECTION CTR",10266.16,NA,"GENERAL REVENUE","CORRECTIONS","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","PINCKNEYVILLE CORRECTION CTR","36",".",NA,0,NA,0,"36"
"2720",2022,"0001","426","1567",NA,"9999","PINCKNEYVILLE CORRECTION CTR",22620.6,"rev_ioc_22.08.01","GENERAL REVENUE","CORRECTIONS",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","PINCKNEYVILLE CORRECTION CTR","36",".",NA,0,NA,0,"36"
"2721",2021,"0963","532","1570",NA,NA,"VEHICLE EMISSION INSPECTION",47160,NA,"VEHICLE INSPECTION","ENVIRONMENTAL PROTECT AGENCY","D","SPECIAL STATE FUNDS","0963","0963","0",NA,"1","VEHICLE INSPECTION","D","Special State Funds","1","1","VEHICLE EMISSION INSPECTION","39",".",NA,0,NA,0,"39"
"2722",2022,"0963","532","1570",NA,"9999","VEHICLE EMISSION INSPECTION",57020,"rev_ioc_22.08.01","VEHICLE INSPECTION","ENVIRONMENTAL PROTECT AGENCY",NA,NA,"0963","0963","0",NA,"1","VEHICLE INSPECTION","D","Special State Funds","1","1","VEHICLE EMISSION INSPECTION","39",".",NA,0,NA,0,"39"
"2723",2021,"0176","350","1578",NA,NA,"NATIONAL ARCHIVES",51720.01,NA,"SECRETARY OF STATE FED PROJ","SECRETARY OF STATE","G","FEDERAL TRUST FUNDS","0176","0176","0",NA,"1","SECRETARY OF STATE FED PROJ","G","Federal Trust Funds","1","1","NATIONAL ARCHIVES","57","FEDERAL OTHER",NA,0,NA,0,"57"
"2724",2022,"0176","350","1578",NA,"9999","NATIONAL ARCHIVES",57174.99,"rev_ioc_22.08.01","SECRETARY OF STATE FED PROJ","SECRETARY OF STATE",NA,NA,"0176","0176","0",NA,"1","SECRETARY OF STATE FED PROJ","G","Federal Trust Funds","1","1","NATIONAL ARCHIVES","57","FEDERAL OTHER",NA,0,NA,0,"57"
