fy,fund,agency,source,interfund_trans,from_fund,source_name.x,receipts,data_source,fund_name,agency_name,fund_cat,fund_cat_name.x,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,revenuesource,total,source_name_AWM,source_name.y,source_name_formula,rev_type,rev_type_name,amnesty,local,type_assigned,source_flag,med_option_recent,rev_type_new
2018,0360,482,1108,0,9999,LEAD INSPECTOR FEES,265110,NA,"LEAD POISONING,SCREENING",PUBLIC HEALTH,NA,NA,0360,0360,0,NA,1,LEAD POISONING SCREENING,D,Special State Funds,1,1,NA,NA,LEAD INSPECTOR FEES,LEAD INSPECTOR FEES,LEAD INSPECTOR FEES,39,.,NA,0,NA,NA,0,39
2019,0360,482,1108,0,9999,LEAD INSPECTOR FEES,261575,rev ioc 12.11.2019,"LEAD POISONING,SCREENING",PUBLIC HEALTH,NA,NA,0360,0360,0,NA,1,LEAD POISONING SCREENING,D,Special State Funds,1,1,NA,NA,LEAD INSPECTOR FEES,LEAD INSPECTOR FEES,LEAD INSPECTOR FEES,39,.,NA,0,NA,NA,0,39
2020,0360,482,1108,0,9999,LEAD INSPECTOR FEES,232185,rev ioc 03.11.2020,"LEAD POISONING,SCREENING",PUBLIC HEALTH,NA,NA,0360,0360,0,NA,1,LEAD POISONING SCREENING,D,Special State Funds,1,1,NA,NA,LEAD INSPECTOR FEES,LEAD INSPECTOR FEES,LEAD INSPECTOR FEES,39,.,NA,0,NA,NA,0,39
2021,0360,482,1108,NA,NA,LEAD INSPECTOR FEES,234250,NA,"LEAD POISONING,SCREENING",PUBLIC HEALTH,D,SPECIAL STATE FUNDS,0360,0360,0,NA,1,LEAD POISONING SCREENING,D,Special State Funds,1,1,NA,NA,LEAD INSPECTOR FEES,LEAD INSPECTOR FEES,LEAD INSPECTOR FEES,39,.,NA,0,NA,NA,0,39
2022,0360,482,1108,NA,9999,LEAD INSPECTOR FEES,231664,rev_ioc_22.08.01,"LEAD POISONING,SCREENING",PUBLIC HEALTH,NA,NA,0360,0360,0,NA,1,LEAD POISONING SCREENING,D,Special State Funds,1,1,NA,NA,LEAD INSPECTOR FEES,LEAD INSPECTOR FEES,LEAD INSPECTOR FEES,39,.,NA,0,NA,NA,0,39
1998,0001,482,1109,0,.,DIV OF ENVIRONMENTAL HEALTH,610242,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
1998,0372,482,1109,0,.,DIV OF ENVIRONMENTAL HEALTH,949145,rev IOC 13.08.02,NA,NA,NA,NA,0372,0372,0,NA,1,PLUMBING LICENSURE & PROGRAM,D,Special State Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
1999,0001,482,1109,0,.,DIV OF ENVIRONMENTAL HEALTH,627839.5,rev_IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
1999,0372,482,1109,0,.,DIV OF ENVIRONMENTAL HEALTH,5880,rev_IOC 13.08.02,NA,NA,NA,NA,0372,0372,0,NA,1,PLUMBING LICENSURE & PROGRAM,D,Special State Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2000,0001,482,1109,0,.,DIV OF ENVIRONMENTAL HEALTH,637336,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2001,0001,482,1109,0,.,DIV OF ENVIRONMENTAL HEALTH,652764.1,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2002,0001,482,1109,0,.,DIV OF ENVIRONMENTAL HEALTH,535540,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2003,0001,482,1109,0,.,DIV OF ENVIRONMENTAL HEALTH,526897,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2004,0001,482,1109,0,.,DIV OF ENVIRONMENTAL HEALTH,518846.5,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2005,0001,482,1109,0,.,DIV OF ENVIRONMENTAL HEALTH,527213.5,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2006,0001,482,1109,0,.,DIV OF ENVIRONMENTAL HEALTH,556609,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2007,0001,482,1109,0,9999,DIV OF ENVIRONMENTAL HEALTH,551206.5,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2008,0001,482,1109,0,9999,DIV OF ENVIRONMENTAL HEALTH,314660.25,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2009,0001,482,1109,0,9999,DIV OF ENVIRONMENTAL HEALTH,228595.22,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2010,0001,482,1109,0,9999,DIV OF ENVIRONMENTAL HEALTH,84040,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2011,0001,482,1109,0,9999,DIV OF ENVIRONMENTAL HEALTH,80535,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2012,0001,482,1109,0,9999,DIV OF ENVIRONMENTAL HEALTH,75685,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2013,0001,482,1109,0,9999,DIV OF ENVIRONMENTAL HEALTH,68750,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2014,0001,482,1109,0,9999,DIV OF ENVIRONMENTAL HEALTH,67650,rev IOC 15.09.28,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2015,0001,482,1109,0,9999,DIV OF ENVIRONMENTAL HEALTH,76585,rev ioc 16.01.07,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2016,0001,482,1109,0,9999,DIV OF ENVIRONMENTAL HEALTH,87750,rev ioc 16.08.04,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2017,0001,482,1109,0,9999,DIV OF ENVIRONMENTAL HEALTH,77825,rev ioc 17.11.29,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2018,0001,482,1109,0,9999,DIV OF ENVIRONMENTAL HEALTH,86925,NA,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2019,0001,482,1109,0,9999,DIV OF ENVIRONMENTAL HEALTH,88875,rev ioc 12.11.2019,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2020,0001,482,1109,0,9999,DIV OF ENVIRONMENTAL HEALTH,85275,rev ioc 03.11.2020,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2021,0001,482,1109,NA,NA,DIV OF ENVIRONMENTAL HEALTH,74275,NA,GENERAL REVENUE,PUBLIC HEALTH,A,GENERAL FUNDS,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
2022,0001,482,1109,NA,9999,DIV OF ENVIRONMENTAL HEALTH,86925,rev_ioc_22.08.01,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,DIV OF ENVIRONMENTAL HEALTH,39,.,NA,0,NA,NA,0,39
1998,0001,482,1110,0,.,"DIV OF FOODS, DRUGS & DAIRY",27517,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
1999,0001,482,1110,0,.,"DIV OF FOODS, DRUGS & DAIRY",7980,rev_IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2000,0001,482,1110,0,.,"DIV OF FOODS, DRUGS & DAIRY",16600,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2001,0001,482,1110,0,.,"DIV OF FOODS, DRUGS & DAIRY",10670,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2002,0001,482,1110,0,.,"DIV OF FOODS, DRUGS & DAIRY",13010,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2003,0001,482,1110,0,.,"DIV OF FOODS, DRUGS & DAIRY",12710,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2004,0001,482,1110,0,.,"DIV OF FOODS, DRUGS & DAIRY",11750,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2005,0001,482,1110,0,.,"DIV OF FOODS, DRUGS & DAIRY",15690,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2006,0001,482,1110,0,.,"DIV OF FOODS, DRUGS & DAIRY",13890,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2007,0001,482,1110,0,9999,"DIV OF FOODS, DRUGS & DAIRY",11200,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2008,0001,482,1110,0,9999,"DIV OF FOODS, DRUGS & DAIRY",8920,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2009,0001,482,1110,0,9999,"DIV OF FOODS, DRUGS & DAIRY",10660,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2010,0001,482,1110,0,9999,"DIV OF FOODS, DRUGS & DAIRY",9840,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2011,0001,482,1110,0,9999,"DIV OF FOODS, DRUGS & DAIRY",11010,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2012,0001,482,1110,0,9999,"DIV OF FOODS, DRUGS & DAIRY",12230,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2013,0001,482,1110,0,9999,"DIV OF FOODS, DRUGS & DAIRY",11500,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2014,0001,482,1110,0,9999,"DIV OF FOODS, DRUGS & DAIRY",12370,rev IOC 15.09.28,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2015,0001,482,1110,0,9999,"DIV OF FOODS, DRUGS & DAIRY",11980,rev ioc 16.01.07,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2016,0001,482,1110,0,9999,"DIV OF FOODS, DRUGS & DAIRY",10910,rev ioc 16.08.04,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2017,0001,482,1110,0,9999,"DIV OF FOODS, DRUGS & DAIRY",7520,rev ioc 17.11.29,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2018,0001,482,1110,0,9999,"DIV OF FOODS, DRUGS & DAIRY",12540,NA,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2019,0001,482,1110,0,9999,"DIV OF FOODS, DRUGS & DAIRY",7000,rev ioc 12.11.2019,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2020,0001,482,1110,0,9999,"DIV OF FOODS, DRUGS & DAIRY",4490,rev ioc 03.11.2020,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2021,0001,482,1110,NA,NA,"DIV OF FOODS, DRUGS & DAIRY",3130,NA,GENERAL REVENUE,PUBLIC HEALTH,A,GENERAL FUNDS,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
2022,0001,482,1110,NA,9999,"DIV OF FOODS, DRUGS & DAIRY",3960,rev_ioc_22.08.01,GENERAL REVENUE,PUBLIC HEALTH,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,"DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY","DIV OF FOODS, DRUGS & DAIRY",39,.,NA,0,NA,NA,0,39
1998,0001,482,1112,0,.,HEALTH CARE FACILITY & PROG,138308.54,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,39,.,NA,0,NA,NA,0,39
1999,0001,482,1112,0,.,HEALTH CARE FACILITY & PROG,113674.23,rev_IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,39,.,NA,0,NA,NA,0,39
2000,0001,482,1112,0,.,HEALTH CARE FACILITY & PROG,139128.57,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,39,.,NA,0,NA,NA,0,39
2001,0001,482,1112,0,.,HEALTH CARE FACILITY & PROG,150734.85,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,39,.,NA,0,NA,NA,0,39
2002,0001,482,1112,0,.,HEALTH CARE FACILITY & PROG,126128.49,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,39,.,NA,0,NA,NA,0,39
2003,0001,482,1112,0,.,HEALTH CARE FACILITY & PROG,145157.87,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,39,.,NA,0,NA,NA,0,39
2004,0001,482,1112,0,.,HEALTH CARE FACILITY & PROG,136372.65,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,39,.,NA,0,NA,NA,0,39
2005,0001,482,1112,0,.,HEALTH CARE FACILITY & PROG,156394.19,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,39,.,NA,0,NA,NA,0,39
2006,0001,482,1112,0,.,HEALTH CARE FACILITY & PROG,146507.92,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,39,.,NA,0,NA,NA,0,39
2007,0001,482,1112,0,9999,HEALTH CARE FACILITY & PROG,100091.31,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,39,.,NA,0,NA,NA,0,39
2008,0001,482,1112,0,9999,HEALTH CARE FACILITY & PROG,156725.01,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,39,.,NA,0,NA,NA,0,39
2009,0001,482,1112,0,9999,HEALTH CARE FACILITY & PROG,210019.03,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,39,.,NA,0,NA,NA,0,39
2010,0001,482,1112,0,9999,HEALTH CARE FACILITY & PROG,195597.69,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,39,.,NA,0,NA,NA,0,39
2011,0001,482,1112,0,9999,HEALTH CARE FACILITY & PROG,172176.56,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,HEALTH CARE FACILITY & PROG,39,.,NA,0,NA,NA,0,39
